log_id,spell_id,player,count
4yqhHd78P6JmxVgA,2139,Petroll,11
4yqhHd78P6JmxVgA,2139,Metönymy,6
AXrNYJ197F2dQtGx,2139,Tawn,5
AXrNYJ197F2dQtGx,2139,Metönymy,5
AXrNYJ197F2dQtGx,2139,Petroll,10
BMXcpTVq6knrtzQv,2139,Metönymy,3
BMXcpTVq6knrtzQv,2139,Petroll,4
gGZmyw7KkFQnXNft,2139,Metönymy,40
gGZmyw7KkFQnXNft,2139,Petroll,97
gGZmyw7KkFQnXNft,2139,Tawn,70
hGQaBYrMVdFmDf3w,2139,Petroll,6
hGQaBYrMVdFmDf3w,2139,Tawn,4
hGQaBYrMVdFmDf3w,2139,Metönymy,5
jafB8qcgDvCmFRQM,2139,Tawn,14
jafB8qcgDvCmFRQM,2139,Petroll,21
KxB17AcZJhtYb2Dg,2139,Tawn,3
KxB17AcZJhtYb2Dg,2139,Metönymy,3
KxB17AcZJhtYb2Dg,2139,Petroll,5
xQ6WYrZNRM1FLtmH,2139,Metönymy,4
xQ6WYrZNRM1FLtmH,2139,Tawn,2
xQ6WYrZNRM1FLtmH,2139,Petroll,6
YGNFr2MH37zXD9Th,2139,Tawn,3
YGNFr2MH37zXD9Th,2139,Metönymy,3
YGNFr2MH37zXD9Th,2139,Petroll,6
4yqhHd78P6JmxVgA,78675,Psychodruid,3
4yqhHd78P6JmxVgA,78675,Soome,3
AXrNYJ197F2dQtGx,78675,Psychodruid,3
hGQaBYrMVdFmDf3w,78675,Psychodruid,2
jafB8qcgDvCmFRQM,78675,Psychodruid,6
KxB17AcZJhtYb2Dg,78675,Soome,3
xQ6WYrZNRM1FLtmH,78675,Soome,3
YGNFr2MH37zXD9Th,78675,Psychodruid,3
4yqhHd78P6JmxVgA,106839,Earrl,1
BMXcpTVq6knrtzQv,106839,Earrl,1
jafB8qcgDvCmFRQM,106839,Earrl,1
4yqhHd78P6JmxVgA,6552,Velryssa,5
AXrNYJ197F2dQtGx,6552,Elzam,8
BMXcpTVq6knrtzQv,6552,Velryssa,1
BMXcpTVq6knrtzQv,6552,Elzam,6
gGZmyw7KkFQnXNft,6552,Elzam,112
hGQaBYrMVdFmDf3w,6552,Elzam,10
jafB8qcgDvCmFRQM,6552,Velryssa,13
jafB8qcgDvCmFRQM,6552,Elzam,21
xQ6WYrZNRM1FLtmH,6552,Elzam,4
YGNFr2MH37zXD9Th,6552,Elzam,6
4yqhHd78P6JmxVgA,147362,Kohbee,6
4yqhHd78P6JmxVgA,147362,Tahvee,6
AXrNYJ197F2dQtGx,147362,Ayriea,6
AXrNYJ197F2dQtGx,147362,Kohbee,5
BMXcpTVq6knrtzQv,147362,Kohbee,3
BMXcpTVq6knrtzQv,147362,Ayriea,2
gGZmyw7KkFQnXNft,147362,Tahvee,44
gGZmyw7KkFQnXNft,147362,Kohbee,62
hGQaBYrMVdFmDf3w,147362,Tahvee,5
hGQaBYrMVdFmDf3w,147362,Kohbee,5
jafB8qcgDvCmFRQM,147362,Kohbee,14
jafB8qcgDvCmFRQM,147362,Ayriea,13
KxB17AcZJhtYb2Dg,147362,Tahvee,3
KxB17AcZJhtYb2Dg,147362,Ayriea,3
xQ6WYrZNRM1FLtmH,147362,Kohbee,2
xQ6WYrZNRM1FLtmH,147362,Tahvee,2
xQ6WYrZNRM1FLtmH,147362,Ayriea,3
YGNFr2MH37zXD9Th,147362,Kohbee,2
4yqhHd78P6JmxVgA,1766,Brianjr,5
AXrNYJ197F2dQtGx,1766,Brianjr,5
BMXcpTVq6knrtzQv,1766,Brianjr,2
gGZmyw7KkFQnXNft,1766,Brianjr,80
hGQaBYrMVdFmDf3w,1766,Brianjr,5
jafB8qcgDvCmFRQM,1766,Brianjr,19
KxB17AcZJhtYb2Dg,1766,Brianjr,3
YGNFr2MH37zXD9Th,1766,Brianjr,4
4yqhHd78P6JmxVgA,183752,Irvaeryss,10
4yqhHd78P6JmxVgA,183752,Valmet,15
AXrNYJ197F2dQtGx,183752,Valmet,13
BMXcpTVq6knrtzQv,183752,Valmet,6
BMXcpTVq6knrtzQv,183752,Irvaeryss,5
gGZmyw7KkFQnXNft,183752,Valmet,103
hGQaBYrMVdFmDf3w,183752,Valmet,9
hGQaBYrMVdFmDf3w,183752,Irvaeryss,8
jafB8qcgDvCmFRQM,183752,Valmet,27
KxB17AcZJhtYb2Dg,183752,Valmet,6
KxB17AcZJhtYb2Dg,183752,Irvaeryss,3
xQ6WYrZNRM1FLtmH,183752,Irvaeryss,4
xQ6WYrZNRM1FLtmH,183752,Valmet,5
YGNFr2MH37zXD9Th,183752,Valmet,9
4yqhHd78P6JmxVgA,57994,Illestrae,6
AXrNYJ197F2dQtGx,57994,Illestrae,3
BMXcpTVq6knrtzQv,57994,Illestrae,2
hGQaBYrMVdFmDf3w,57994,Illestrae,2
jafB8qcgDvCmFRQM,57994,Illestrae,2
KxB17AcZJhtYb2Dg,57994,Illestrae,4
xQ6WYrZNRM1FLtmH,57994,Illestrae,1
gGZmyw7KkFQnXNft,192058,Illestrae,2
YGNFr2MH37zXD9Th,192058,Illestrae,1
AXrNYJ197F2dQtGx,96231,Toyqt,4
BMXcpTVq6knrtzQv,96231,Toyqt,2
gGZmyw7KkFQnXNft,853,Acturus,4
hGQaBYrMVdFmDf3w,853,Acturus,1
4yqhHd78P6JmxVgA,47528,Stradk,3
gGZmyw7KkFQnXNft,15487,Stradivarus,7
jafB8qcgDvCmFRQM,15487,Stradivarus,8
YGNFr2MH37zXD9Th,15487,Stradivarus,2
